source,artifact_type,status,generated_at,generated_age_seconds,profile,model,quantization,prompt_suite_sha256,command_sha256,prompts,measured_runs,warmup_runs,median_tok_per_s,max_memory_bytes,telemetry_status,telemetry_findings,command_hash_status,command_hash_findings,command_airgap_status,command_findings,commit,current_commit,current_commit_match,commit_status,commit_findings,freshness_status,freshness_findings
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T023337Z.json,qemu_prompt,pass,2026-04-28T02:33:37Z,21003,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],3b7e701e8a6b,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T02:33:37Z,21003,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],3b7e701e8a6b,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260428T024600Z.json,qemu_prompt,pass,2026-04-28T02:46:00Z,20260,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],ba875d39995e,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T035203Z.json,qemu_prompt,pass,2026-04-28T03:52:03Z,16297,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],a0126ad2c367,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T03:52:03Z,16297,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],a0126ad2c367,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260428T035203Z.json,qemu_prompt,pass,2026-04-28T03:52:03Z,16297,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],a0126ad2c367,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T035204Z.json,qemu_prompt,pass,2026-04-28T03:52:04Z,16296,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],a0126ad2c367,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T03:52:04Z,16296,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],a0126ad2c367,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260428T044520Z.json,qemu_prompt,pass,2026-04-28T04:45:20Z,13100,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],9305c9617dbe,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260428T045336Z.json,qemu_prompt,pass,2026-04-28T04:53:36Z,12604,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],cd2ef624364d,1abdb9dfaa55,False,pass,[],unchecked,[]
