key,measured_source,generated_at,candidate_dry_run_count,candidate_dry_run_sources
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,2026-04-28T03:52:03Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,bench/results/qemu_prompt_bench_20260428T035203Z.json,2026-04-28T03:52:03Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T035204Z.json,2026-04-28T03:52:04Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q8_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,bench/results/bench_matrix_20260428T035157Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,2026-04-28T03:52:04Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,bench/results/qemu_prompt_bench_20260428T044520Z.json,2026-04-28T04:45:20Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,bench/results/qemu_prompt_bench_20260428T045336Z.json,2026-04-28T04:53:36Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,bench/results/qemu_prompt_bench_20260428T051723Z.json,2026-04-28T05:17:23Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/no-command/no-launch-plan/fad0e7a1f326bc53b13c3332b33e0bd191fdc4e92444823af2592bea6a90ced8,bench/results/qemu_prompt_bench_20260428T053208Z.json,2026-04-28T05:32:08Z,0,[]
synthetic-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/e415146c052b9f0baa23706ffde97548f2374f6601337823b4d810c39bed48e7/no-launch-plan/21a5fe5c0e2f1cbdfbc4f36f4a5326cb6145cbf77763b3401df2b5c1619f420d,bench/results/qemu_prompt_bench_20260428T061952Z.json,2026-04-28T06:19:52Z,0,[]
ci-airgap-smoke/synthetic-smoke/Q4_0/68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a/b38e17f8fe6b79397ba9c4cb6dc68ad1d24ed501d479195500b1d8eaf615640d/no-launch-plan/199928d2258262b2ca80e491fc637902d45ca3695c316aef71615539bffafad7,bench/results/bench_matrix_20260428T062013Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T062014Z.json,2026-04-28T06:20:14Z,0,[]
